DATE;TIME;10MAA50CP012壯XQ03;10MAA50CP012壯XQ02;10MAA50CP012壯XQ01;10MAA50CP011壯XQ02;10MAA50CP011壯XQ01;10MAA50CP011壯XQ03;10MAA50CP013壯XQ01;10MAA50CP013壯XQ02;10MAA50CP013壯XQ03;10MAA50CP001壯XQ01;10MAA50CP012匣Q01低F;10MAA50CP011匣Q03低F;10MAA50CP013匣Q01低F;10MAA50CP011匣Q02利_AL;10MAA50CP011匣Q01低F;10MAA50CP013匣Q02利_AL;10MAA50CP012匣Q03低F;10MAA50CP012匣Q02利_AL;10MAA50CP013匣Q02低F;10MAA50CP013匣Q03低F;10MAA50CP011匣Q02低F;10MAA50CP012匣Q02低F;10MAA50CP001匣Q01低F;
01.01.2023;18:00:00,000;1,0099;1407,1;0,0043406;1490,8;-0,0021701;0,99565;0,0075955;6000,0;-5,5555;-0,28434;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
01.01.2023;18:30:00,000;1,0098;1407,2;0,0043406;1490,1;-0,0021701;0,99499;0,0075955;6000,0;-5,5547;-0,27662;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
01.01.2023;19:00:00,000;1,0095;1407,0;0,0043406;1488,4;-0,0021701;0,99523;0,0075955;6000,0;-5,5535;-0,28096;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
01.01.2023;19:30:00,000;1,0097;1407,0;0,0043406;1487,1;-0,0021701;0,99546;0,0075955;6000,0;-5,5528;-0,28241;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
01.01.2023;20:00:00,000;1,0096;1407,1;0,0043406;1483,0;-0,0021701;0,99555;0,0075955;6000,0;-5,5511;-0,28048;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
01.01.2023;20:30:00,000;1,0095;1407,1;0,0043406;1480,2;-0,0021701;0,99506;0,0075955;6000,0;-5,5453;-0,27951;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
01.01.2023;21:00:00,000;1,0097;1407,1;0,0043406;1478,6;-0,0010848;0,99554;0,0075955;6000,0;-5,5405;-0,28125;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
01.01.2023;21:30:00,000;1,0098;1407,0;0,0043406;1482,2;-0,0032549;0,99506;0,0075955;6000,0;-5,5507;-0,28096;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
01.01.2023;22:00:00,000;1,0114;1406,0;0,0043406;1480,3;-0,0032549;0,99123;0,0075955;6000,0;-5,5255;-0,27662;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
01.01.2023;22:30:00,000;1,0132;1402,1;0,0075955;1474,6;-0,0054250;0,98933;0,0075955;6000,0;-5,5190;-0,28241;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
01.01.2023;23:00:00,000;1,0149;1403,2;0,0075955;1475,2;-0,0054250;0,98962;0,0086808;6000,0;-5,5022;-0,27855;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
01.01.2023;23:30:00,000;1,0140;1393,7;0,0054255;1474,8;-0,0021701;0,99133;0,0086808;6000,0;-5,4987;-0,27855;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
02.01.2023;00:00:00,000;1,0148;1386,4;0,0075955;1474,5;-0,0021701;0,99210;0,0086808;6000,0;-5,4909;-0,27951;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
02.01.2023;00:30:00,000;1,0151;1402,5;0,0075955;1475,4;-0,0021701;0,99318;0,010851;6000,0;-5,4755;-0,27662;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
02.01.2023;01:00:00,000;1,0147;1400,1;0,0043406;1475,9;-0,0021701;0,99200;0,0086808;6000,0;-5,4866;-0,27662;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
