Timestamp;Value;Quality;Alarmtype;Suppressed;Auto-Suppressed;Display-Suppressed;Tagname;TagId;Description;Project Status;Gone Text;Raised Text;Priority;Soe;Tagout;
2025.10.28 00:00:00.000 GMT+00:00;0;195;-1;0;0;0;11MYB01EU010§§ZV06;29368888;СИСТ БВЫКЛ ГТ $ GT TRIP SYSTEM;1;;ОТКЛ по БВЫКЛ $ TRIPPED;0;0;0;
2025.10.28 00:00:00.000 GMT+00:00;0;227;6;0;0;0;11MYB01EZ001E§39540§TRBL_AL;29372260;Trouble  Alarm;1;cleared;present;0;0;0;
2025.10.28 00:00:00.000 GMT+00:00;0;227;6;0;0;0;11MYB01EZ001E§39541§TRBL_AL;29370665;Trouble  Alarm;1;cleared;present;0;0;0;
2025.10.28 00:00:00.000 GMT+00:00;0;227;6;0;0;0;11MYB01EZ001E§39542§TRBL_AL;29368577;Trouble  Alarm;1;cleared;present;0;0;0;
2025.10.28 00:00:00.000 GMT+00:00;0;227;6;0;0;0;11MYB01EZ001E§39543§TRBL_AL;29367861;Trouble  Alarm;1;cleared;present;0;0;0;
2025.10.28 00:00:00.000 GMT+00:00;0;195;1;0;0;0;11MYB01EZ001E§§ZV44;29366892;СИСТ HW БВЫКЛ ТПУ ГТ $ GT HW TRIP SYSTEM SFC;1;;1 ЛИН БВЫКЛ $ 1 LINE TRIP;0;0;0;
2025.10.28 00:00:00.000 GMT+00:00;0;195;3;0;0;0;11MYB01EZ001E§§ZV46;29366894;СИСТ HW БВЫКЛ ТПУ ГТ $ GT HW TRIP SYSTEM SFC;1;;НСОВП $ NO COIN;0;0;0;
2025.10.28 00:00:00.000 GMT+00:00;0;227;-1;0;0;0;11MYB01EZ001M§789359§TRBL_AL;29370950;Trouble  Alarm;1;cleared;present;0;0;0;
2025.10.28 00:00:00.000 GMT+00:00;0;227;-1;0;0;0;11MYB01EZ001M§789361§TRBL_AL;29370221;Trouble  Alarm;1;cleared;present;0;0;0;
2025.10.28 00:00:00.000 GMT+00:00;1;227;-1;0;0;0;11MYB01EZ001M§§ZV51;29373399;ПВ ЛИН СИСТ HW БВЫКЛ ГТ $ GT HW TRIP SYST LNE FUSE;1;;A НЕ БВЫКЛ $ A NO TRIP;0;0;0;
2025.10.28 00:00:00.000 GMT+00:00;1;227;-1;0;0;0;11MYB01EZ001M§§ZV61;29373400;ПВ ЛИН СИСТ HW БВЫКЛ ГТ $ GT HW TRIP SYST LNE FUSE;1;;B НЕ БВЫКЛ $ B NO TRIP;0;0;0;
2025.10.28 00:00:00.000 GMT+00:00;0;227;-1;0;0;0;11MYB01EZ011S§25475§TRBL_AL;29369544;Trouble  Alarm;1;cleared;present;0;0;0;
2025.10.28 00:00:00.000 GMT+00:00;1;195;-1;0;0;0;11MYB01EZ011S§§XT51;29373382;ЗАЩ ПРСК СИСТ 1 $ O/S PROT SYST 1;1;;НЕ БВЫКЛ $ NO TRIP;0;0;0;
2025.10.28 00:00:00.000 GMT+00:00;0;227;6;0;0;0;11MYB01EZ011§1140769§TRBL_AL;29367531;Trouble  Alarm;1;cleared;present;0;0;0;
2025.10.28 00:00:00.000 GMT+00:00;0;227;6;0;0;0;11MYB01EZ011§1140770§TRBL_AL;29371017;Trouble  Alarm;1;cleared;present;0;0;0;
2025.10.28 00:00:00.000 GMT+00:00;0;227;6;0;0;0;11MYB01EZ011§1140771§TRBL_AL;29369921;Trouble  Alarm;1;cleared;present;0;0;0;
2025.10.28 00:00:00.000 GMT+00:00;1;195;-1;0;0;0;11MYB01EZ011§§XT67;29374321;ЗАЩ ПРСК СИСТ 1 $ O/S PROT SYST 1;1;;КАН 1 НЕ БВЫКЛ $ CHAN 1 N TR;0;0;0;
2025.10.28 00:00:00.000 GMT+00:00;1;195;-1;0;0;0;11MYB01EZ011§§XT68;29374322;ЗАЩ ПРСК СИСТ 1 $ O/S PROT SYST 1;1;;КАН 2 НЕ БВЫКЛ $ CHAN 2 N TR;0;0;0;
2025.10.28 00:00:00.000 GMT+00:00;1;195;-1;0;0;0;11MYB01EZ011§§XT69;29374323;ЗАЩ ПРСК СИСТ 1 $ O/S PROT SYST 1;1;;КАН 3 НЕ БВЫКЛ $ CHAN 3 N TR;0;0;0;
2025.10.28 00:00:00.000 GMT+00:00;0;227;-1;0;0;0;11MYB01EZ012S§25489§TRBL_AL;29368431;Trouble  Alarm;1;cleared;present;0;0;0;
2025.10.28 00:00:00.000 GMT+00:00;1;195;-1;0;0;0;11MYB01EZ012S§§XT51;29373383;ЗАЩ ПРСК СИСТ 2 $ O/S PROT SYST 2;1;;НЕ БВЫКЛ $ NO TRIP;0;0;0;
2025.10.28 00:00:00.000 GMT+00:00;0;227;6;0;0;0;11MYB01EZ012§1140772§TRBL_AL;29367125;Trouble  Alarm;1;cleared;present;0;0;0;
2025.10.28 00:00:00.000 GMT+00:00;0;227;6;0;0;0;11MYB01EZ012§1140773§TRBL_AL;29368985;Trouble  Alarm;1;cleared;present;0;0;0;
2025.10.28 00:00:00.000 GMT+00:00;0;227;6;0;0;0;11MYB01EZ012§1140774§TRBL_AL;29367600;Trouble  Alarm;1;cleared;present;0;0;0;
